rank	System.II	System.I	direction	Sum.System.I	Sum.System.II	CooccurCounts	Pagel.p.value	P.value.System.I.dep	P.value.System.II.dep	Bonferroni	Benjamini.Hochberg
152	PsyrTA	ietAS	-1	1979	1382	57	4.75385906635092e-07	0.00574110727765901	0.00295690558122017	Y	Y
153	CBASS I	RM I	1	18714	4764	3478	5.84731211131213e-07	3.00975344113862e-06	0.00632892327651384	Y	Y
154	CRISPR I-E	Dnd_ABCDE	-1	1407	17573	1181	6.63971796723254e-07	0.000105214166007857	0.000121285073322361	Y	Y
155	Kiwa	ietAS	1	1979	1741	229	7.06899080222056e-07	0.000120177963036196	4.65814672057596e-07	Y	Y
156	RM IV	Shedu	1	365	8297	192	7.82919003582562e-07	0.609461974108782	6.92829894618295e-08	Y	Y
157	Dnd_FGH	Septu I	1	2632	1378	168	7.82933783919471e-07	0.00229772395223196	3.06564723315273e-05	Y	Y
158	RM IIG	RM IV	-1	8297	3307	550	8.15407816156667e-07	1.28001676523518e-07	0.000175370608693514	Y	Y
159	Dpd	old	1	194	1259	7	8.73928239980079e-07	0.85492997657059	0.516722217381582	Y	Y
160	CRISPR I-E	DRT I	-1	1256	17573	671	9.22890721213773e-07	2.43178325072973e-07	0.214838791438093	Y	Y
161	PifA	Septu I	1	2632	1362	99	9.76710987836506e-07	0.0358886592046314	0.0325915007987795	Y	Y
162	Hachiman I	Septu I	-1	2632	1244	82	1.09394072019298e-06	0.0495197651142021	6.68891517525507e-05	Y	Y
163	CRISPR I-F	Mokosh II	1	975	675	6	1.30817743062141e-06	0.292511519007981	1.50075176460786e-05	Y	Y
164	CBASS I	cas_adaptation	-1	195	4764	21	1.33710243767937e-06	0.00214562636523459	0.0183980352390642	Y	Y
165	RM III	dXTPase	1	2159	3335	418	1.37067389123689e-06	0.0723947292953671	4.15545470046866e-06	Y	Y
166	RM III	Zorya II	-1	2518	3335	69	1.57760758168645e-06	1.06929459296735e-05	4.93278231439957e-06	Y	Y
167	Dnd_ABCDE	Septu I	1	2632	1407	170	1.59049528363173e-06	0.000811147112086226	0.000311600799314983	Y	Y
168	DRT III	Septu I	-1	2632	1497	236	1.67113952213729e-06	0.00993893144364151	1.35314121217555e-05	Y	Y
169	AbiE	old	1	194	5251	54	1.70614450745114e-06	0.0920849150307764	0.0173716630955122	Y	Y
170	Mokosh II	hhe	-1	928	975	8	1.77627412416502e-06	6.12553666544972e-06	0.000543948273203787	Y	Y
171	BstA	Gabija	1	4540	1136	103	1.78924500354733e-06	0.354310398626664	5.57595889391266e-06	Y	Y
172	Hachiman I	Thoeris I	-1	1541	1244	13	1.79610062474796e-06	0.385743352593076	5.68156098160375e-07	Y	Y
173	RM IV	RexAB	-1	456	8297	231	1.86798429138638e-06	0.770349313084893	1.32914384711228e-07	Y	Y
174	AbiE	CBASS I	-1	4764	5251	1374	2.34013033020723e-06	1.93063891725068e-07	0.933628031106187	Y	Y
175	AVAST II	RM I	-1	18714	583	445	2.43853993546898e-06	2.45013534407348e-05	0.803646703452412	Y	Y
176	Dnd_FGH	Mokosh II	1	975	1378	52	2.44000651394642e-06	0.000862107169229253	0.000552276991979042	Y	Y
177	Dpd	Zorya II	-1	2518	1259	3	2.82942013289445e-06	4.44833716507771e-06	1.82547811204053e-06	Y	Y
178	GAO_19	Retron I-C	1	2026	850	33	3.06564514032712e-06	0.00082902527941331	0.0239803429552501	Y	Y
179	DRT I	PsyrTA	-1	1382	1256	2	3.37490433511996e-06	0.000539504012433918	0.00708647840410597	Y	Y
180	CBASS I	Mokosh II	1	975	4764	237	3.45966507434504e-06	0.333910687548935	1.02967525876071e-06	Y	Y
181	DprA-PRTase	Druantia III	1	3391	204	22	3.46758060277779e-06	0.0946941479736391	0.5113518714582	Y	Y
182	PrrC	Retron I-C	1	2026	427	57	3.6215090592572e-06	0.563626314644827	1.03963180601523e-06	Y	Y
183	Dnd_FGH	RM I	-1	18714	1378	733	3.62893872130349e-06	6.21376417527681e-06	3.13129858877236e-05	Y	Y
184	RM IV	hhe	1	928	8297	245	4.05603602653076e-06	0.00998311514633486	0.000103141853426935	NA	Y
185	AbiE	Helicase-DUF2290	1	164	5251	26	4.62198962330403e-06	0.850879224449067	0.00687331277618604	NA	Y
186	AbiU	Retron XII	1	474	569	44	4.64697310476241e-06	1.29504917743949e-06	8.58402059128641e-07	NA	Y
187	Dnd_ABCDE	Mokosh II	1	975	1407	54	5.4011692431727e-06	0.000905493126154441	0.00219591209495125	NA	Y
188	BREX I	Druantia III	-1	3391	1622	83	5.41711847532052e-06	0.00727942680435239	3.97713491954747e-06	NA	Y
189	Hachiman I	cas_adaptation	-1	195	1244	13	6.08451244517192e-06	0.511376978649697	2.37972594808447e-06	NA	Y
190	Mokosh II	Zorya II	-1	2518	975	19	6.22936288306044e-06	0.0104373608899012	0.0130336902239575	NA	Y
191	Mokosh II	dXTPase	1	2159	975	119	6.65639378321608e-06	0.000148809374723322	1.10757020455698e-05	NA	Y
192	AbiL	Gabija	1	4540	490	140	7.41111653931798e-06	0.000140520577141214	1.57891808908223e-05	NA	Y
193	CRISPR I-F	RexAB	1	456	675	8	7.5635516304795e-06	0.472908319705089	1.43885948335413e-06	NA	Y
194	Mokosh II	RM IIG	-1	3307	975	32	7.8217768584363e-06	5.87371502440357e-07	0.154717352060536	NA	Y
195	AbiQ	CRISPR I-F	1	675	203	14	7.91069929952694e-06	4.2883458765971e-06	0.245711326746548	NA	Y
196	Dnd_ABCDE	RM I	-1	18714	1407	748	7.92608160857107e-06	1.23877717657095e-05	7.96380676851936e-05	NA	Y
197	BstA	CBASS I	-1	4764	1136	122	8.49732962869097e-06	0.122798570198546	6.84897956206375e-06	NA	Y
198	DRT I	Retron XII	1	474	1256	85	9.32161700031272e-06	8.43205620935834e-07	0.0362758008536169	NA	Y
199	RM I	cas_adaptation	-1	195	18714	103	9.45870378434582e-06	0.0511620470292055	1.78645107514015e-05	NA	Y
200	CBASS I	Retron II-A	1	836	4764	181	9.65026031914854e-06	8.71779554517186e-05	0.0871988612539276	NA	Y
201	GAO_19	ietAS	1	1979	850	107	1.03769980385912e-05	1.04670340641533e-05	0.00802068207760172	NA	Y
202	AbiU	Dnd_ABCDE	1	1407	569	43	1.09382340460364e-05	0.00451391384900319	5.88695755252581e-05	NA	Y
203	Dnd_ABCDE	RM II	1	26131	1407	1394	1.12415775783455e-05	0.0363840475105949	0.921625989978192	NA	Y
204	Kiwa	PsyrTA	-1	1382	1741	23	1.13940653183488e-05	0.0204663993045915	0.00489223518524983	NA	Y
205	AbiE	cas_adaptation	-1	195	5251	10	1.16932063864839e-05	0.346243913735497	7.99964061260652e-05	NA	Y
206	PsyrTA	Septu I	-1	2632	1382	77	1.23961877648799e-05	0.0292261571322073	0.0002159347180536	NA	Y
207	Druantia III	RM II	-1	26131	3391	3380	1.26595791361226e-05	0.909359163995877	0.54439236389477	NA	Y
208	Helicase-DUF2290	PsyrTA	1	1382	164	4	1.28434345812535e-05	0.455118075756069	0.0870041465346186	NA	Y
209	Kiwa	RM IV	1	8297	1741	728	1.50391058796346e-05	1.08344249171608e-06	0.613694404316075	NA	Y
210	PifA	darTG	1	967	1362	63	1.56443814868236e-05	5.62629230266498e-06	0.0861568327964954	NA	Y
211	CRISPR I-E	Lamassu I	1	202	17573	162	1.74477684763816e-05	0.0112541727237075	0.800428830311105	NA	Y
212	Dnd_FGH	RM III	-1	3335	1378	139	1.90732375526381e-05	3.57947061415821e-05	0.000200998092367079	NA	Y
